,index,LoadHourlyAvg,Percentile
763,763,3295.08,0.988
764,764,3294.6171428571433,0.988
765,765,3294.2700000000004,0.988
766,766,3293.550000000001,0.988
767,767,3293.01,0.988
768,768,3292.704000000001,0.988
769,769,3291.300000000001,0.988
770,770,3290.31,0.988
771,771,3290.13,0.988
772,772,3289.9500000000007,0.988
773,773,3289.86,0.988
774,774,3289.4100000000008,0.988
775,775,3288.9600000000014,0.988
776,776,3288.384,0.988
777,777,3287.7900000000004,0.988
778,778,3287.61,0.988
779,779,3287.16,0.988
780,780,3287.07,0.988
781,781,3287.07,0.988
782,782,3286.26,0.988
783,783,3284.476363636364,0.988
784,784,3283.6320000000005,0.988
785,785,3283.2981818181825,0.988
786,786,3283.2000000000007,0.988
787,787,3283.2000000000007,0.988
788,788,3283.2000000000007,0.988
789,789,3283.2000000000007,0.988
790,790,3283.2000000000007,0.988
791,791,3283.2000000000007,0.988
792,792,3283.2000000000007,0.988
793,793,3282.807272727273,0.988
794,794,3281.8500000000013,0.988
795,795,3280.32,0.988
796,796,3279.3300000000013,0.988
797,797,3279.1745454545453,0.988
798,798,3277.8900000000012,0.988
799,799,3277.112727272728,0.988
800,800,3275.7381818181816,0.988
801,801,3275.208,0.988
802,802,3274.952727272727,0.988
803,803,3274.7563636363634,0.987
804,804,3274.470000000001,0.987
805,805,3274.200000000001,0.987
806,806,3272.9400000000005,0.987
807,807,3272.8909090909087,0.987
808,808,3272.724000000001,0.987
809,809,3271.2218181818184,0.987
810,810,3270.829090909091,0.987
811,811,3270.600000000001,0.987
812,812,3269.25,0.987
813,813,3268.350000000001,0.987
814,814,3268.1700000000005,0.987
815,815,3267.5890909090917,0.987
816,816,3266.370000000001,0.987
817,817,3266.0181818181823,0.987
818,818,3265.2000000000007,0.987
819,819,3265.2000000000007,0.987
820,820,3264.66,0.987
821,821,3264.6240000000007,0.987
822,822,3264.3900000000012,0.987
823,823,3264.2100000000005,0.987
824,824,3264.1527272727285,0.987
