,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
21536,21536,1617.66,CAV-01-3A-17,7,264.0
21537,21537,1617.6436363636365,CAV-02-3A-25,2,334.0
21538,21538,1617.57,CAV-01-3A-17,7,264.0
21539,21539,1617.5454545454545,CAV-02-5A-04,4,268.0
21540,21540,1617.4800000000002,CAV-01-3A-23,5,334.0
21541,21541,1617.4472727272723,CAV-01-3A-07,10,269.0
21542,21542,1617.435,CAV-02-3A-04,11,268.0
21543,21543,1617.3490909090908,CAV-01-3A-18,10,250.0
21544,21544,1617.3490909090908,CAV-01-3A-17,9,264.0
21545,21545,1617.3490909090906,CAV-02-3A-01,3,268.0
21546,21546,1617.3000000000002,CAV-02-3A-03,9,268.0
21547,21547,1617.3,CAV-01-3A-10,7,256.0
21548,21548,1617.21,CAV-01-3A-20,1,250.0
21549,21549,1616.9400000000005,CAV-01-3A-21,4,263.0
21550,21550,1616.8581818181815,CAV-01-3A-15,1,255.0
21551,21551,1616.76,CAV-02-5A-03,5,268.0
21552,21552,1616.661818181818,CAV-01-3A-16,4,255.0
21553,21553,1616.58,CAV-02-3A-04,10,268.0
21554,21554,1616.4900000000005,CAV-01-3A-22,9,263.0
21555,21555,1616.49,CAV-02-3A-25,6,334.0
21556,21556,1616.49,CAV-01-3A-24,2,268.0
21557,21557,1616.4654545454548,CAV-01-3A-11,7,269.0
21558,21558,1616.4654545454543,CAV-02-5A-05,12,348.0
21559,21559,1616.4000000000003,CAV-01-3A-10,10,256.0
21560,21560,1616.3100000000002,CAV-01-3A-12,9,252.0
21561,21561,1616.3100000000002,CAV-01-3A-12,4,252.0
21562,21562,1616.269090909091,CAV-01-3A-17,6,264.0
21563,21563,1616.1709090909096,CAV-01-3A-11,7,269.0
21564,21564,1616.1709090909092,CAV-01-3A-15,8,255.0
21565,21565,1616.0400000000002,CAV-02-3A-25,11,334.0
21566,21566,1616.04,CAV-01-3A-14,11,264.0
21567,21567,1615.95,CAV-01-3A-16,3,255.0
21568,21568,1615.95,CAV-01-3A-07,9,269.0
21569,21569,1615.95,CAV-01-3A-17,1,264.0
21570,21570,1615.95,CAV-01-3A-17,11,264.0
21571,21571,1615.95,CAV-01-3A-17,11,264.0
21572,21572,1615.95,CAV-01-3A-10,5,256.0
21573,21573,1615.95,CAV-01-3A-11,11,269.0
21574,21574,1615.95,CAV-01-3A-11,6,269.0
21575,21575,1615.9499999999998,CAV-01-3A-16,10,255.0
